site_id,lon,lat,D0,mean,quantile-0.05,quantile-0.16,quantile-0.5,quantile-0.84,quantile-0.95
0,13.278,42.767,0.0001,0.00034996709741371974,0.0003497760403081073,0.0003497760403081073,0.0003497760403081073,0.0003500358779717402,0.00035011994309820963
0,13.278,42.767,0.001,0.0003485535877838522,0.00034838096443790245,0.00034838096443790245,0.00034838096443790245,0.0003486157321883941,0.00034869168646061197
0,13.278,42.767,0.005,0.0003434251160530985,0.00034332119848379245,0.00034332119848379245,0.00034332119848379245,0.0003434625263780487,0.0003435082501085433
0,13.278,42.767,0.01,0.0003378179141936264,0.00033775172393574925,0.00033775172393574925,0.00033775172393574925,0.00033784174268646226,0.0003378708663999282
0,13.278,42.767,0.015,0.00033264492505836503,0.0003325981288154387,0.0003325981288154387,0.0003325981288154387,0.0003326617717058185,0.00033268236205270606
0,13.278,42.767,0.03,0.0003186516828673047,0.00031862977539472647,0.00031862977539472647,0.00031862977539472647,0.0003186595695574328,0.0003186692088453672
0,13.278,42.767,0.05,0.00030228036292606603,0.0003022696642639054,0.0003022696642639054,0.0003022696642639054,0.00030228421444444386,0.0003022889218557945
0,13.278,42.767,0.075,0.00028430386990846885,0.0002842984544887077,0.0002842984544887077,0.0002842984544887077,0.00028430581945958287,0.0002843082022442778
0,13.278,42.767,0.1,0.000268384591001976,0.0002683814706776139,0.0002683814706776139,0.0002683814706776139,0.0002683857143187464,0.0002683870872614657
0,13.278,42.767,0.15,0.0002411250556052543,0.0002411237693469168,0.0002411237693469168,0.0002411237693469168,0.00024112551865825582,0.00024112608461192433
0,13.278,42.767,0.3,0.00018248381696310783,0.0001824836203552088,0.0001824836203552088,0.0001824836203552088,0.0001824838877419515,0.00018248397424942708
0,13.278,42.767,0.5,0.00013373860017139349,0.0001337385675422506,0.0001337385675422506,0.0001337385675422506,0.0001337386119178849,0.00013373862627470777
0,13.278,42.767,0.75,9.619167189287471e-05,9.619166655992482e-05,9.619166655992482e-05,9.619166655992482e-05,9.619167381273667e-05,9.619167615923463e-05
0,13.278,42.767,1.0,7.2233346839738e-05,7.223334573635195e-05,7.223334573635195e-05,7.223334573635195e-05,7.223334723695699e-05,7.223334772244685e-05
0,13.278,42.767,1.5,4.4321424188055874e-05,4.4321424125184014e-05,4.4321424125184014e-05,4.4321424125184014e-05,4.432142421068975e-05,4.432142423835336e-05
0,13.278,42.767,2.0,2.931954313046707e-05,2.931954312645806e-05,2.931954312645806e-05,2.931954312645806e-05,2.9319543131910315e-05,2.931954313367428e-05
0,13.278,42.767,3.0,1.4760065828031202e-05,1.4760065828011923e-05,1.4760065828011923e-05,1.4760065828011923e-05,1.4760065828038142e-05,1.4760065828046626e-05
0,13.278,42.767,5.0,5.139611477719358e-06,5.139611477719357e-06,5.139611477719357e-06,5.139611477719357e-06,5.139611477719358e-06,5.139611477719358e-06
0,13.278,42.767,7.5,1.8863342283655296e-06,1.8863342283655296e-06,1.8863342283655296e-06,1.8863342283655296e-06,1.8863342283655296e-06,1.8863342283655296e-06
0,13.278,42.767,10.0,8.424836266636299e-07,8.424836266636299e-07,8.424836266636299e-07,8.424836266636299e-07,8.424836266636299e-07,8.424836266636299e-07
1,13.188,42.749,0.0001,6.5651167025604765e-06,2.6681005400219985e-06,2.6681005400219985e-06,2.6681005400219985e-06,7.968042521074327e-06,9.682729632591258e-06
1,13.188,42.749,0.001,6.467940684673417e-06,2.66318493912062e-06,2.66318493912062e-06,2.66318493912062e-06,7.837652753072423e-06,9.511745281115653e-06
1,13.188,42.749,0.005,5.523814039078247e-06,2.417139914684754e-06,2.417139914684754e-06,2.417139914684754e-06,6.642216723859904e-06,8.009153338593041e-06
1,13.188,42.749,0.01,4.526295094074087e-06,2.01911448092189e-06,2.01911448092189e-06,2.01911448092189e-06,5.428880114808877e-06,6.5320395845958435e-06
1,13.188,42.749,0.015,3.807377552606787e-06,1.688205015181311e-06,1.688205015181311e-06,1.688205015181311e-06,4.570279666079958e-06,5.502715582547167e-06
1,13.188,42.749,0.03,2.533645183919382e-06,1.057820081436664e-06,1.057820081436664e-06,1.057820081436664e-06,3.0649422208131604e-06,3.714305265905557e-06
1,13.188,42.749,0.05,1.7022722413064245e-06,6.449543295836119e-07,6.449543295836119e-07,6.449543295836119e-07,2.082906689526637e-06,2.5481265706846743e-06
1,13.188,42.749,0.075,1.1653182481906296e-06,3.935990000465817e-07,3.935990000465817e-07,3.935990000465817e-07,1.4431371775224866e-06,1.7826936467058676e-06
1,13.188,42.749,0.1,8.587697970557963e-07,2.614548011920771e-07,2.614548011920771e-07,2.614548011920771e-07,1.073803195566735e-06,1.3366217937467716e-06
1,13.188,42.749,0.15,5.283055397593651e-07,1.3419224127708818e-07,1.3419224127708818e-07,1.3419224127708818e-07,6.701863272129848e-07,8.435961785451866e-07
1,13.188,42.749,0.3,1.9391795717844102e-07,3.191791199147718e-08,3.191791199147718e-08,3.191791199147718e-08,2.5223797344574796e-07,3.235179933280121e-07
1,13.188,42.749,0.5,7.883477721178214e-08,8.304879394481584e-09,8.304879394481584e-09,8.304879394481584e-09,1.0422554042601032e-07,1.3525869546562257e-07
1,13.188,42.749,0.75,3.430776676063436e-08,2.156318253363183e-09,2.156318253363183e-09,2.156318253363183e-09,4.588228822325198e-08,6.002892556645129e-08
