site_id,lon,lat,D0,annual_rate
0,13.278,42.767,0.0001,0.0003501581545193321
0,13.278,42.767,0.001,0.00034872621112980195
0,13.278,42.767,0.005,0.0003435290336224045
0,13.278,42.767,0.01,0.00033788410445150365
0,13.278,42.767,0.015,0.00033269172130129135
0,13.278,42.767,0.03,0.00031867359033988283
0,13.278,42.767,0.05,0.00030229106158822665
0,13.278,42.767,0.075,0.00028430928532823
0,13.278,42.767,0.1,0.00026838771132633814
0,13.278,42.767,0.15,0.00024112634186359183
0,13.278,42.767,0.3,0.0001824840135710069
0,13.278,42.767,0.5,0.00013373863280053634
0,13.278,42.767,0.75,9.61916772258246e-05
0,13.278,42.767,1.0,7.223334794312406e-05
0,13.278,42.767,1.5,4.4321424250927735e-05
0,13.278,42.767,2.0,2.9319543134476083e-05
0,13.278,42.767,3.0,1.4760065828050482e-05
0,13.278,42.767,5.0,5.139611477719358e-06
0,13.278,42.767,7.5,1.8863342283655296e-06
0,13.278,42.767,10.0,8.424836266636299e-07
1,13.188,42.749,0.0001,1.0462132865098954e-05
1,13.188,42.749,0.001,1.0272696430226213e-05
1,13.188,42.749,0.005,8.63048816347174e-06
1,13.188,42.749,0.01,7.033475707226283e-06
1,13.188,42.749,0.015,5.926550090032263e-06
1,13.188,42.749,0.03,4.0094702864021e-06
1,13.188,42.749,0.05,2.759590153029237e-06
1,13.188,42.749,0.075,1.9370374963346774e-06
1,13.188,42.749,0.1,1.4560847929195155e-06
1,13.188,42.749,0.15,9.224188382416421e-07
1,13.188,42.749,0.3,3.5591800236540486e-07
1,13.188,42.749,0.5,1.493646750290827e-07
1,13.188,42.749,0.75,6.645921526790554e-08
1,13.188,42.749,1.0,3.471578654130949e-08
1,13.188,42.749,1.5,1.229186771762479e-08
1,13.188,42.749,2.0,5.308401125009947e-09
1,13.188,42.749,3.0,1.3517901198853216e-09
1,13.188,42.749,5.0,1.5503171729965756e-10
1,13.188,42.749,7.5,1.578742671006469e-11
1,13.188,42.749,10.0,1.9416852251130536e-12
2,13.212,42.853,0.0001,1.027059246280909e-05
2,13.212,42.853,0.001,1.0219340652828186e-05
2,13.212,42.853,0.005,9.949599567785993e-06
2,13.212,42.853,0.01,9.712378662496237e-06
2,13.212,42.853,0.015,9.507582288147042e-06
2,13.212,42.853,0.03,8.91767601592246e-06
2,13.212,42.853,0.05,8.151766684578754e-06
2,13.212,42.853,0.075,7.27502106803052e-06
2,13.212,42.853,0.1,6.507952820076265e-06
2,13.212,42.853,0.15,5.270947752379902e-06
2,13.212,42.853,0.3,3.0687124848996315e-06
2,13.212,42.853,0.5,1.7269618769260392e-06
2,13.212,42.853,0.75,9.66962418252387e-07
2,13.212,42.853,1.0,5.954322430778327e-07
2,13.212,42.853,1.5,2.682118056260149e-07
2,13.212,42.853,2.0,1.3919579316179985e-07
2,13.212,42.853,3.0,4.759757738526408e-08
2,13.212,42.853,5.0,8.965571888743992e-09
2,13.212,42.853,7.5,1.6611438093757193e-09
2,13.212,42.853,10.0,3.7766000312555387e-10
