site_id,lon,lat,D0,annual_rate
0,13.278,42.767,0.0001,0.0003497760403081073
0,13.278,42.767,0.001,0.00034838096443790245
0,13.278,42.767,0.005,0.00034332119848379245
0,13.278,42.767,0.01,0.00033775172393574925
0,13.278,42.767,0.015,0.0003325981288154387
0,13.278,42.767,0.03,0.00031862977539472647
0,13.278,42.767,0.05,0.0003022696642639054
0,13.278,42.767,0.075,0.0002842984544887077
0,13.278,42.767,0.1,0.0002683814706776139
0,13.278,42.767,0.15,0.0002411237693469168
0,13.278,42.767,0.3,0.0001824836203552088
0,13.278,42.767,0.5,0.0001337385675422506
0,13.278,42.767,0.75,9.619166655992482e-05
0,13.278,42.767,1.0,7.223334573635195e-05
0,13.278,42.767,1.5,4.4321424125184014e-05
0,13.278,42.767,2.0,2.931954312645806e-05
0,13.278,42.767,3.0,1.4760065828011923e-05
0,13.278,42.767,5.0,5.139611477719357e-06
0,13.278,42.767,7.5,1.8863342283655296e-06
0,13.278,42.767,10.0,8.424836266636299e-07
1,13.188,42.749,0.0001,2.6681005400219985e-06
1,13.188,42.749,0.001,2.66318493912062e-06
1,13.188,42.749,0.005,2.417139914684754e-06
1,13.188,42.749,0.01,2.01911448092189e-06
1,13.188,42.749,0.015,1.688205015181311e-06
1,13.188,42.749,0.03,1.057820081436664e-06
1,13.188,42.749,0.05,6.449543295836119e-07
1,13.188,42.749,0.075,3.935990000465817e-07
1,13.188,42.749,0.1,2.614548011920771e-07
1,13.188,42.749,0.15,1.3419224127708818e-07
1,13.188,42.749,0.3,3.191791199147718e-08
1,13.188,42.749,0.5,8.304879394481584e-09
1,13.188,42.749,0.75,2.156318253363183e-09
1,13.188,42.749,1.0,6.1266857823803e-10
1,13.188,42.749,1.5,2.1487415429474667e-11
1,13.188,42.749,2.0,0.0
1,13.188,42.749,3.0,0.0
1,13.188,42.749,5.0,0.0
1,13.188,42.749,7.5,0.0
1,13.188,42.749,10.0,0.0
2,13.212,42.853,0.0001,4.8473270424668445e-06
2,13.212,42.853,0.001,4.847231923083781e-06
2,13.212,42.853,0.005,4.822320091492992e-06
2,13.212,42.853,0.01,4.696372698819808e-06
2,13.212,42.853,0.015,4.509519576777519e-06
2,13.212,42.853,0.03,3.8536669121294845e-06
2,13.212,42.853,0.05,3.073175641122542e-06
2,13.212,42.853,0.075,2.3462752206522706e-06
2,13.212,42.853,0.1,1.8305131635374844e-06
2,13.212,42.853,0.15,1.1801006684660477e-06
2,13.212,42.853,0.3,4.2573975343109377e-07
2,13.212,42.853,0.5,1.5681570948829578e-07
2,13.212,42.853,0.75,5.8673875484895e-08
2,13.212,42.853,1.0,2.4835690665768712e-08
2,13.212,42.853,1.5,4.627264128740123e-09
2,13.212,42.853,2.0,5.255999820304124e-10
2,13.212,42.853,3.0,0.0
2,13.212,42.853,5.0,0.0
2,13.212,42.853,7.5,0.0
2,13.212,42.853,10.0,0.0
